,datetime,ghi,SZA,TOA,cams,lsasaf,era,merra
20314,2021-04-26 10:00:00,53.6,76.20580468345189,320.0843980414836,18.0,51.925,75.111115,94.28125
20315,2021-04-26 11:00:00,119.5,61.61032421335537,638.2834168864543,131.7997,224.0,205.12,252.3125
20316,2021-04-26 12:00:00,117.65,47.02537219985748,915.1059419760471,287.538,531.82501,287.46667,395.75
20317,2021-04-26 13:00:00,226.45,32.54081489963306,1131.6869756962592,302.7934,546.80001,409.6889,523.5
20318,2021-04-26 14:00:00,430.6333333333333,18.4729753919136,1273.2668785161384,497.7681,743.275,652.33777,623.0
20319,2021-04-26 15:00:00,577.0833333333334,7.743424652193542,1330.1972140303624,516.0384,782.67501,576.60443,660.25
20320,2021-04-26 16:00:00,812.1166666666667,14.683022697631184,1298.5982739554647,692.2781,807.925,622.4711,619.25
20321,2021-04-26 17:00:00,693.2,28.422476389531727,1180.6234738378319,460.5948,458.825,497.84888,565.75
20322,2021-04-26 18:00:00,273.9833333333333,42.84235666550885,984.3126013429054,281.4597,186.7,356.97778,466.375
20323,2021-04-26 19:00:00,188.25,57.41128083086896,723.0439180121584,192.4939,109.8250025,173.08444,333.125
20324,2021-04-26 20:00:00,87.5,72.00959584418338,414.62245284766703,103.9018,41.15,63.893333,158.8125
20338,2021-04-27 10:00:00,17.2,76.147496648134,321.2430920243411,17.2036,29.47500075,99.60889,69.9375
20339,2021-04-27 11:00:00,73.46666666666667,61.57108616853662,638.7582088472386,32.490899999999996,78.25,267.68,160.75
20340,2021-04-27 12:00:00,68.15,47.00866757969599,914.9140969079166,44.8421,126.5,464.53333,252.4375
20341,2021-04-27 13:00:00,90.0,32.55705675079657,1130.8911888042223,54.1611,116.26666833333331,578.9689,322.125
20342,2021-04-27 14:00:00,44.96666666666667,18.557795617015024,1271.9710026424427,62.256600000000006,139.6750025,379.2,375.125
20343,2021-04-27 15:00:00,122.06666666666666,8.042934050284005,1328.5391822549188,112.8337,239.6000075,544.67554,389.25
20344,2021-04-27 16:00:00,383.1,14.8803928822377,1296.7406996843974,272.7242,210.9750025,398.77335,401.25
20345,2021-04-27 17:00:00,285.1333333333333,28.535689500413582,1178.7425689685824,168.997,16.55000125,405.4222,346.5
20346,2021-04-27 18:00:00,150.03333333333333,42.91843191586875,982.5861677146256,200.70170000000002,133.0,299.32443,280.5
20347,2021-04-27 19:00:00,102.96666666666668,57.46331608087893,721.6392305042044,161.93759999999997,54.1000005,202.57777,182.0625
20348,2021-04-27 20:00:00,82.75,72.04196461304467,413.6848598730052,96.2854,27.85,79.00445,87.4375
20362,2021-04-28 10:00:00,162.6,76.09208345561298,322.33567109968305,169.9253,201.8000025,58.773335,97.1875
20363,2021-04-28 11:00:00,402.4,61.53506465424191,639.168394882498,410.7187,453.475005,149.81334,257.75
20364,2021-04-28 12:00:00,598.7,46.99563793294993,914.6628674184867,607.2408,671.375,322.22223,419.25
20365,2021-04-28 13:00:00,887.0333333333333,32.5777217285877,1130.0445956804642,691.733,856.25001,465.3689,562.75
20366,2021-04-28 14:00:00,1032.8333333333333,18.648327111373423,1270.6356708225117,909.3915,977.2,503.04,694.5
20367,2021-04-28 15:00:00,964.1666666666666,8.34140592131498,1326.8550434114352,887.615,1027.825,506.88,743.5
20368,2021-04-28 16:00:00,702.2333333333333,15.078261353417982,1294.871456112206,847.0068,787.7,424.19556,743.75
20369,2021-04-28 17:00:00,377.78333333333336,28.64880078552622,1176.8645375438896,609.5659,629.50003,428.42667,680.5
20370,2021-04-28 18:00:00,391.4166666666667,42.99370398826097,980.8762641912626,521.2108000000001,523.975,388.17776,553.25
